266 contests
rank	name	rating	participations
170	wyh9346	2652.789615638455	50
171	lostleaf	2652.786060780756	53
172	RsEnts	2652.2074692081014	9
173	plus2047	2651.6887171970275	94
174	yaketake08	2649.295445283538	20
175	raincoat911	2648.107050928208	108
176	txingml	2646.883284453523	146
177	YangZhenjian	2646.608575646996	89
178	serdes	2644.3265705896692	36
179	Minori	2644.256845567202	40
180	smartly	2644.2146770400814	12
181	alexlinzhai	2643.7079793480393	20
182	ddmike	2643.3102722000963	82
183	alpha_null	2643.248097707212	77
184	mongsiry013	2642.65028086262	61
185	Dshawn	2641.9526426959	33
186	nosrpku	2640.0034901565964	29
187	Hewitt_1570	2639.852910135268	89
188	beginner1010	2639.539789840397	44
189	ddoudle	2638.6607822411	46
190	mirosuaf	2638.232069634225	87
191	CaoRui	2638.0115097737444	29
192	Roka	2635.613992316539	11
193	9am	2634.3263620021276	35
194	ahyangyi	2633.8896564543584	10
195	HMAXS	2633.464999740928	27
196	tfliao	2631.1326901063485	80
197	acst	2627.559727476808	15
198	yge2	2625.772239274226	38
199	cheatcode	2625.7269233706825	31
200	IrisGuo	2623.632063930996	65
201	Yulian_Yarema	2623.582199534385	29
202	heyshb	2621.606546421284	11
203	Iamyxx	2620.840263901765	49
204	hhhyyyfff	2619.661561774686	25
205	LaSeineFirenze	2619.468382259973	43
206	luchy0120	2618.9729298591005	161
207	wifiii	2616.4762114329856	72
208	imcom	2615.78660074466	18
209	JerryJin2905	2615.3726299609616	34
210	ben100	2615.2184733718586	25
211	_DAle_	2614.708474232066	16
212	azala	2609.453951887135	92
213	CyberZHG	2609.3232171638347	62
214	facelessvoid	2609.239331859766	78
215	waakaaka	2608.0515566914355	8
216	yurisantamarina	2607.422024766801	15
217	betot43863	2606.33439323456	41
218	Loxis	2604.799564951115	16
219	wxy9018	2603.7164125070985	86
220	aztk	2599.5982543820414	9
221	Ajit123	2599.3518071918816	40
222	flyman3046	2598.0472777568593	123
223	QAMichaelPeng	2597.006896506947	120
224	steiner	2596.2457157919666	17
225	cd2903	2595.9625892415916	41
226	ttzztztz	2595.3162724893473	79
227	polonez	2593.796209461761	13
228	Sd-Invol	2593.281781424681	9
229	FoolPerson	2592.9202395697966	25
230	radiancesheep	2591.4568101413283	26
231	sshang	2590.5587933778866	122
232	zhymaoiing	2590.1067652529937	81
233	DylanSmith	2588.444143346313	92
234	fallleaves01	2588.0263412761196	10
235	tonyli0000	2587.8998438555523	149
236	googlweknoall	2587.542753424813	39
237	ezoixx130	2587.0003875558114	19
238	necoramen	2585.917993760589	50
239	balakrishnan_v	2585.87464436312	88
240	zhantons	2584.6272308439497	21
241	akigeor	2583.8068606261822	9
242	cai_lw	2582.5082488179023	95
243	namasikanam	2582.3618800135873	12
244	okaduki	2581.4999039163554	114
245	eureka17	2580.997508041812	28
246	dumb_ass	2580.9019139005673	13
247	lixx2100	2580.6825727593036	98
